N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
164,현대엘리베이,"40,750",300,-0.73%,"5,000","16,632","40,815",28.28,"111,155",26.26,9.78,
165,LS ELECTRIC,"54,900",200,-0.36%,"5,000","16,470","30,000",17.81,"55,075",20.33,6.15,
166,JB금융지주,"8,340",50,-0.60%,"5,000","16,428","196,983",41.83,"160,835",3.44,10.06,
167,HDC현대산업개발,"24,850",300,+1.22%,"5,000","16,378","65,907",10.20,"778,472",5.40,8.85,
168,KODEX 단기채권,"103,125",0,0.00%,0,"16,366","15,870",0.00,"34,648",N/A,N/A,
169,대웅제약,"141,000","3,500",-2.42%,"2,500","16,337","11,587",6.59,"37,951",141.57,2.38,
170,한전KPS,"36,050",750,-2.04%,200,"16,222","45,000",6.45,"219,865",13.43,8.23,
171,오뚜기,"440,000","8,000",-1.79%,"5,000","16,157","3,672",11.66,"5,459",14.61,7.93,
172,DGB금융지주,"9,440",40,-0.42%,"5,000","15,967","169,146",48.84,"213,976",3.37,6.93,
173,KODEX 레버리지,"22,850",415,-1.78%,0,"15,904","69,600",2.13,"21,147,629",N/A,N/A,
174,신풍제약,"28,700","1,000",-3.37%,500,"15,207","52,985",10.11,"830,714","4,783.33",1.72,
175,PI첨단소재,"51,600","1,200",-2.27%,500,"15,153","29,366",12.87,"149,076",25.90,15.62,
176,동원시스템즈,"51,600",800,-1.53%,"5,000","15,061","29,188",13.30,"68,610",23.37,10.97,
177,명신산업,"28,600","1,100",-3.70%,500,"15,006","52,470",2.55,"566,814",-12.40,-67.39,
178,에스엘,"31,100","1,150",-3.57%,500,"14,991","48,203",15.27,"191,702",10.31,4.74,
179,대한전선,"1,740",20,-1.14%,500,"14,903","856,473",2.66,"4,153,977",44.62,0.92,
180,KODEX 삼성그룹,"9,700",105,-1.07%,0,"14,598","150,500",0.22,"104,960",N/A,N/A,
181,한국앤컴퍼니,"15,200",350,-2.25%,500,"14,430","94,935",9.63,"113,478",5.83,5.08,
182,KODEX 종합채권(AA-이상)액티브,"107,395",370,-0.34%,0,"14,396","13,405",0.00,"5,285",N/A,N/A,
183,LIG넥스원,"65,400","2,200",-3.25%,"5,000","14,388","22,000",6.59,"329,503",15.24,8.86,
184,케이카,"29,650","1,050",-3.42%,500,"14,258","48,087",18.41,"175,173",49.25,15.11,
185,아시아나항공,"19,150",350,-1.79%,"5,000","14,250","74,412",7.66,"260,494",-3.29,-43.83,
186,현대두산인프라코어,"6,980",300,-4.12%,"1,000","13,781","197,435",11.00,"2,047,780",5.97,6.47,
187,아이에스동서,"44,600",150,+0.34%,500,"13,778","30,893",4.99,"64,747",25.54,10.92,
188,롯데렌탈,"37,200",500,-1.33%,"5,000","13,628","36,634",1.50,"74,657",12.90,6.73,
189,DL,"64,900",300,+0.46%,"5,000","13,600","20,956",11.99,"97,537",2.06,11.84,
190,TIGER 단기통안채,"100,525",5,0.00%,0,"13,547","13,476",0.90,"13,665",N/A,N/A,
191,롯데리츠,"5,500",0,0.00%,500,"13,363","242,969",9.59,"195,896",34.38,1.68,
192,ESR켄달스퀘어리츠,"6,210",80,-1.27%,"1,000","13,233","213,089",32.26,"343,666",163.42,1.14,
193,진원생명과학,"16,800",800,-4.55%,"1,000","13,016","77,479",12.35,"1,022,201",-50.76,-30.43,
194,코스모신소재,"43,000",550,-1.26%,"1,000","12,937","30,087",6.59,"282,428",55.13,7.16,
195,금호타이어,"4,495",15,-0.33%,"5,000","12,912","287,260",4.09,"305,369",-17.98,-6.74,
196,LG생활건강우,"614,000","8,000",+1.32%,"5,000","12,892","2,100",84.17,"1,875",12.78,N/A,
197,KODEX 2차전지산업,"21,750",195,-0.89%,0,"12,702","58,400",1.54,"988,186",N/A,N/A,
198,한화투자증권,"5,880",340,-5.47%,"5,000","12,615","214,548",6.22,"5,459,430",9.88,5.58,
199,F&F홀딩스,"32,200",950,-2.87%,500,"12,595","39,114",0.73,"64,036",0.27,16.59,
200,태광산업,"1,120,000","3,000",-0.27%,"5,000","12,470","1,113",5.92,718,4.92,3.26,
